Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
10,3,0.1,0.0,0.23261737823486328
10,3,0.3,0.1,0.2100536823272705
10,3,1.0,0.7000000000000001,0.21215057373046875
10,3,3.0,4.6000000000000005,0.2112586498260498
10,3,10.0,39.400000000000006,0.2164149284362793
10,6,0.1,0.0,0.2816154956817627
10,6,0.3,0.0,0.2935659885406494
10,6,1.0,0.1,0.28093957901000977
10,6,3.0,2.3000000000000003,0.2798635959625244
10,6,10.0,30.200000000000003,0.2787284851074219
10,9,0.1,0.0,0.3522682189941406
10,9,0.3,0.0,0.3472714424133301
10,9,1.0,0.0,0.3486294746398926
10,9,3.0,0.1,0.34782838821411133
10,9,10.0,18.400000000000002,0.3445088863372803
10,12,0.1,0.0,0.42438840866088867
10,12,0.3,0.0,0.41971778869628906
10,12,1.0,0.0,0.4293334484100342
10,12,3.0,0.0,0.4173705577850342
10,12,10.0,11.8,0.412822961807251
10,15,0.1,0.0,0.48295116424560547
10,15,0.3,0.0,0.48445963859558105
10,15,1.0,0.0,0.4858832359313965
10,15,3.0,0.1,0.4941701889038086
10,15,10.0,9.3,0.4801793098449707
10,18,0.1,0.0,0.5711522102355957
10,18,0.3,0.0,0.553386926651001
10,18,1.0,0.0,0.5497174263000488
10,18,3.0,0.1,0.549483060836792
10,18,10.0,8.5,0.5452225208282471
10,21,0.1,0.0,0.6362321376800537
10,21,0.3,0.0,0.6253683567047119
10,21,1.0,0.0,0.6190624237060547
10,21,3.0,0.0,0.6206667423248291
10,21,10.0,9.0,0.6183156967163086
10,24,0.1,0.0,0.6968884468078613
10,24,0.3,0.0,0.6916348934173584
10,24,1.0,0.0,0.6862988471984863
10,24,3.0,0.0,1.1967105865478516
10,24,10.0,6.7,0.7587313652038574
10,27,0.1,0.0,0.7746284008026123
10,27,0.3,0.0,0.765493631362915
10,27,1.0,0.0,0.7612557411193848
10,27,3.0,0.0,0.7571115493774414
10,27,10.0,6.7,1.010627269744873
10,30,0.1,0.0,1.100797414779663
10,30,0.3,0.0,0.831411600112915
10,30,1.0,0.0,0.8329336643218994
10,30,3.0,0.0,0.8189470767974854
10,30,10.0,6.300000000000001,0.8166651725769043
10,33,0.1,0.0,1.3165984153747559
10,33,0.3,0.0,1.013814926147461
10,33,1.0,0.0,0.8924977779388428
10,33,3.0,0.0,0.8870124816894531
10,33,10.0,6.300000000000001,0.8805060386657715
10,36,0.1,0.0,1.1993649005889893
10,36,0.3,0.0,1.2905566692352295
10,36,1.0,0.0,0.9661693572998047
10,36,3.0,0.0,0.969214677810669
10,36,10.0,5.4,0.9556105136871338
10,39,0.1,0.0,1.3471391201019287
10,39,0.3,0.0,1.7657599449157715
10,39,1.0,0.0,1.7368950843811035
10,39,3.0,0.0,1.769416093826294
10,39,10.0,4.9,1.7335679531097412
10,42,0.1,0.0,1.907477855682373
10,42,0.3,0.0,1.8480048179626465
10,42,1.0,0.0,1.8631737232208252
10,42,3.0,0.0,1.9013805389404297
10,42,10.0,5.300000000000001,1.8671984672546387
10,45,0.1,0.0,1.2448632717132568
10,45,0.3,0.0,1.1890223026275635
10,45,1.0,0.0,1.1940181255340576
10,45,3.0,0.0,1.1974966526031494
10,45,10.0,4.1000000000000005,1.5206077098846436
10,48,0.1,0.0,1.4493408203125
10,48,0.3,0.0,1.2493703365325928
