Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
10,1,0.01,0.1,0.19646239280700684
10,1,0.03,0.1,0.17256951332092285
10,1,0.1,1.4000000000000001,0.17739272117614746
10,1,0.3,2.0,0.1735689640045166
10,1,1.0,8.6,0.1685481071472168
10,1,3.0,24.900000000000002,0.17253923416137695
10,1,10.0,60.2,0.1765275001525879
10,1,30.0,96.10000000000001,0.16755104064941406
10,4,0.01,0.0,0.24730610847473145
10,4,0.03,0.0,0.23939156532287598
10,4,0.1,0.0,0.24255967140197754
10,4,0.3,0.0,0.2453751564025879
10,4,1.0,0.8,0.2483046054840088
10,4,3.0,6.5,0.2563149929046631
10,4,10.0,41.0,0.25046873092651367
10,4,30.0,96.4,0.24134564399719238
10,7,0.01,0.0,0.3211476802825928
10,7,0.03,0.0,0.32931017875671387
10,7,0.1,0.0,0.3241572380065918
10,7,0.3,0.0,0.36500048637390137
10,7,1.0,0.0,0.3183097839355469
10,7,3.0,0.6000000000000001,0.3171820640563965
10,7,10.0,18.6,0.31116795539855957
10,7,30.0,92.0,0.30574560165405273
10,10,0.01,0.0,0.39749717712402344
10,10,0.03,0.0,0.4617650508880615
10,10,0.1,0.0,0.43296098709106445
10,10,0.3,0.0,0.42187070846557617
10,10,1.0,0.0,0.613506555557251
10,10,3.0,0.1,0.759225606918335
10,10,10.0,16.7,0.5435171127319336
10,10,30.0,94.5,0.43494677543640137
15,1,0.01,0.1,0.2234327793121338
15,1,0.03,0.4,0.24434161186218262
15,1,0.1,1.3,0.24435019493103027
15,1,0.3,3.8000000000000003,0.228973388671875
15,1,1.0,12.100000000000001,0.2279675006866455
15,1,3.0,35.6,0.2433147430419922
15,1,10.0,78.0,0.23238062858581543
15,1,30.0,99.4,0.22040939331054688
15,4,0.01,0.0,0.3561861515045166
15,4,0.03,0.0,0.3590414524078369
15,4,0.1,0.0,0.3586912155151367
15,4,0.3,0.1,0.4134540557861328
15,4,1.0,0.5,0.6316287517547607
15,4,3.0,8.9,0.595440149307251
15,4,10.0,55.300000000000004,0.3436906337738037
15,4,30.0,99.5,0.34462571144104004
15,7,0.01,0.0,0.47373294830322266
15,7,0.03,0.0,0.5077505111694336
15,7,0.1,0.0,0.4866981506347656
15,7,0.3,0.0,0.5057768821716309
15,7,1.0,0.0,0.5425500869750977
15,7,3.0,0.9,0.47382283210754395
15,7,10.0,32.7,0.6532533168792725
15,7,30.0,98.9,0.7436027526855469
15,10,0.01,0.0,1.0536623001098633
15,10,0.03,0.0,1.02357816696167
15,10,0.1,0.0,1.0473642349243164
15,10,0.3,0.0,1.3738114833831787
15,10,1.0,0.0,1.667696237564087
15,10,3.0,0.8,1.2250421047210693
15,10,10.0,27.3,1.0982613563537598
15,10,30.0,98.60000000000001,1.065650224685669
15,13,0.01,0.0,1.3903100490570068
15,13,0.03,0.0,1.3483929634094238
15,13,0.1,0.0,1.3440368175506592
15,13,0.3,0.0,1.6320157051086426
15,13,1.0,0.0,1.4161310195922852
15,13,3.0,0.0,1.632659673690796
15,13,10.0,20.0,1.3445837497711182
15,13,30.0,99.4,1.1212868690490723
20,1,0.01,0.1,0.4647865295410156
20,1,0.03,1.4000000000000001,0.5367321968078613
20,1,0.1,1.0,0.5138070583343506
20,1,0.3,5.9,0.5106616020202637
20,1,1.0,18.5,0.4555191993713379
20,1,3.0,40.6,0.4773075580596924
20,1,10.0,87.5,0.4557812213897705
20,1,30.0,99.80000000000001,0.44796109199523926
20,5,0.01,0.0,0.8382084369659424
20,5,0.03,0.0,0.7968661785125732
20,5,0.1,0.0,0.8098349571228027
20,5,0.3,0.0,0.8078382015228271
20,5,1.0,0.1,0.789886474609375
20,5,3.0,2.5,0.7659211158752441
20,5,10.0,50.7,0.7689738273620605
20,5,30.0,100.0,0.703120231628418
20,9,0.01,0.0,0.6515297889709473
20,9,0.03,0.0,0.6572415828704834
20,9,0.1,0.0,0.6544089317321777
20,9,0.3,0.0,0.6345267295837402
20,9,1.0,0.0,0.653254508972168
20,9,3.0,0.4,0.6535780429840088
20,9,10.0,32.9,0.6473355293273926
20,9,30.0,99.9,0.6333413124084473
20,13,0.01,0.0,0.8806102275848389
20,13,0.03,0.0,0.8726656436920166
20,13,0.1,0.0,0.8417792320251465
20,13,0.3,0.0,1.322462558746338
20,13,1.0,0.0,0.8816101551055908
20,13,3.0,0.1,0.8287811279296875
20,13,10.0,28.0,0.8202798366546631
20,13,30.0,99.9,0.7800626754760742
20,17,0.01,0.0,1.1172502040863037
20,17,0.03,0.0,1.4293489456176758
20,17,0.1,0.0,1.0363216400146484
20,17,0.3,0.0,0.995720624923706
20,17,1.0,0.0,1.0667290687561035
20,17,3.0,0.1,1.341238021850586
20,17,10.0,22.0,1.19301176071167
20,17,30.0,99.9,0.9621279239654541
25,1,0.01,0.6000000000000001,0.31017017364501953
25,1,0.03,0.7000000000000001,0.31313133239746094
25,1,0.1,2.0,0.3082561492919922
25,1,0.3,5.0,0.30817747116088867
25,1,1.0,23.0,0.3181471824645996
25,1,3.0,51.7,0.3092045783996582
25,1,10.0,92.2,0.3061809539794922
25,1,30.0,99.9,0.3141293525695801
25,6,0.01,0.0,0.5894536972045898
25,6,0.03,0.0,0.5984034538269043
25,6,0.1,0.0,0.6143522262573242
25,6,0.3,0.0,0.6183483600616455
25,6,1.0,0.2,0.6432743072509766
25,6,3.0,5.5,0.6372976303100586
25,6,10.0,63.300000000000004,0.9135570526123047
25,6,30.0,100.0,0.9943420886993408
25,11,0.01,0.0,1.489016056060791
25,11,0.03,0.0,1.501983642578125
25,11,0.1,0.0,1.5019798278808594
25,11,0.3,0.0,1.4935874938964844
25,11,1.0,0.0,1.5091629028320312
25,11,3.0,0.1,1.5147716999053955
25,11,10.0,39.0,1.441450595855713
25,11,30.0,100.0,1.4307284355163574
25,16,0.01,0.0,1.9681479930877686
25,16,0.03,0.0,1.9572768211364746
25,16,0.1,0.0,1.6197617053985596
25,16,0.3,0.0,1.163041353225708
25,16,1.0,0.0,1.161134958267212
25,16,3.0,0.0,1.1493735313415527
25,16,10.0,32.1,1.161891222000122
25,16,30.0,100.0,1.6735265254974365
25,21,0.01,0.0,1.4274876117706299
25,21,0.03,0.0,1.4457073211669922
25,21,0.1,0.0,1.7757632732391357
25,21,0.3,0.0,1.6438851356506348
25,21,1.0,0.0,1.4163517951965332
25,21,3.0,0.0,1.4289531707763672
25,21,10.0,24.1,1.9591917991638184
25,21,30.0,99.9,1.4033517837524414
30,1,0.01,0.30000000000000004,0.35906982421875
30,1,0.03,0.7000000000000001,0.3485093116760254
30,1,0.1,2.9000000000000004,0.35405802726745605
30,1,0.3,8.700000000000001,0.3640265464782715
30,1,1.0,23.900000000000002,0.35068392753601074
30,1,3.0,60.900000000000006,0.34906649589538574
30,1,10.0,95.60000000000001,0.34906649589538574
30,1,30.0,100.0,0.3450767993927002
30,6,0.01,0.0,0.71907639503479
30,6,0.03,0.0,0.7081058025360107
30,6,0.1,0.0,0.7091033458709717
