Length,Deletion Probability,Percentage Error,Time Taken
40,0.1,0.0,0.3500959873199463
40,0.3,0.1,0.39747023582458496
40,1.0,1.9,0.461834192276001
40,3.0,28.9,0.41446900367736816
40,10.0,98.1,0.41190481185913086
80,0.1,0.0,1.156769037246704
80,0.3,0.0,0.8622961044311523
80,1.0,2.3,0.8778917789459229
80,3.0,49.0,0.8930563926696777
80,10.0,100.0,0.8858015537261963
120,0.1,0.0,1.6324286460876465
120,0.3,0.0,1.4703960418701172
120,1.0,2.3,1.3353593349456787
120,3.0,62.2,1.3132824897766113
120,10.0,100.0,1.3227455615997314
160,0.1,0.0,1.6847808361053467
160,0.3,0.0,1.7829375267028809
160,1.0,5.0,1.7231614589691162
160,3.0,77.6,1.8500699996948242
160,10.0,100.0,1.7070508003234863
200,0.1,0.0,2.5544943809509277
200,0.3,0.0,2.62308669090271
200,1.0,3.8,3.2125210762023926
200,3.0,81.3,2.9790728092193604
200,10.0,100.0,2.8626084327697754
240,0.1,0.0,4.577649831771851
240,0.3,0.0,3.8626930713653564
240,1.0,3.9,3.983474016189575
240,3.0,87.0,3.7741637229919434
240,10.0,100.0,4.055524587631226
280,0.1,0.0,4.492701530456543
280,0.3,0.0,4.636226415634155
280,1.0,3.9,4.484915256500244
280,3.0,90.1,3.639777660369873
280,10.0,100.0,4.2184014320373535
320,0.1,0.0,4.320376634597778
320,0.3,0.0,4.38437032699585
320,1.0,6.3,4.127773284912109
320,3.0,97.0,4.5014708042144775
320,10.0,100.0,4.459623098373413
360,0.1,0.0,4.644526720046997
360,0.3,0.0,4.776224374771118
360,1.0,6.7,4.731119632720947
360,3.0,97.4,4.592733860015869
360,10.0,100.0,4.592787265777588
400,0.1,0.0,6.071004390716553
400,0.3,0.0,5.322995662689209
400,1.0,7.7,5.704750061035156
400,3.0,98.5,5.448951005935669
400,10.0,100.0,5.394355058670044
440,0.1,0.0,6.119506120681763
440,0.3,0.0,7.029585838317871
440,1.0,7.8,7.117918491363525
440,3.0,99.5,7.507633209228516
440,10.0,100.0,7.259974241256714
480,0.1,0.0,7.047687768936157
480,0.3,0.2,6.421263694763184
480,1.0,8.4,6.44378137588501
480,3.0,99.7,6.2507405281066895
480,10.0,100.0,6.82964015007019
520,0.1,0.0,6.900666236877441
520,0.3,0.1,6.823378086090088
520,1.0,10.5,7.4158265590667725
520,3.0,99.9,7.243685007095337
520,10.0,100.0,7.086154937744141
560,0.1,0.0,8.13589072227478
560,0.3,0.0,8.006851434707642
560,1.0,14.9,10.113223314285278
560,3.0,99.9,10.276034832000732
560,10.0,100.0,9.235020399093628
600,0.1,0.0,11.373080968856812
600,0.3,0.0,9.583691596984863
600,1.0,6.3,10.18947434425354
600,3.0,100.0,10.104683637619019
600,10.0,100.0,9.142417669296265
640,0.1,0.0,10.041463375091553
640,0.3,0.0,9.903168439865112
640,1.0,8.2,10.878861427307129
640,3.0,99.8,10.314020156860352
640,10.0,100.0,11.969798564910889
680,0.1,0.0,12.678149700164795
680,0.3,0.0,11.990187168121338
680,1.0,7.7,11.111778736114502
680,3.0,99.7,10.601375818252563
680,10.0,100.0,11.311280250549316
720,0.1,0.0,11.660408020019531
720,0.3,0.0,11.497125387191772
720,1.0,7.0,11.370031595230103
720,3.0,99.9,14.690995454788208
720,10.0,100.0,15.752564668655396
760,0.1,0.0,17.73364233970642
760,0.3,0.0,13.924819707870483
760,1.0,8.3,14.639649152755737
760,3.0,100.0,12.6146719455719
760,10.0,100.0,12.27434754371643
800,0.1,0.0,13.901353359222412
800,0.3,0.0,13.39989972114563
800,1.0,11.5,13.939865112304688
800,3.0,100.0,16.367624759674072
800,10.0,100.0,15.512981176376343
840,0.1,0.0,14.889698505401611
840,0.3,0.0,13.696797847747803
840,1.0,9.9,13.196238279342651
840,3.0,100.0,14.075250148773193
840,10.0,100.0,14.142699003219604
880,0.1,0.0,14.575329780578613
880,0.3,0.1,18.36011052131653
880,1.0,13.7,17.202783346176147
880,3.0,99.9,13.463745832443237
880,10.0,100.0,15.201874017715454
920,0.1,0.0,15.027793407440186
920,0.3,0.0,15.732676267623901
920,1.0,13.6,16.34887719154358
920,3.0,100.0,17.256640911102295
920,10.0,100.0,17.756041765213013
960,0.1,0.0,16.075181245803833
960,0.3,0.0,15.71622085571289
960,1.0,13.0,15.784730672836304
960,3.0,100.0,15.687881708145142
960,10.0,100.0,15.87960958480835
