Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
10,3,0.1,0.0,0.14778733253479004
10,3,0.3,0.0,0.157548189163208
10,3,1.0,0.7000000000000001,0.15257620811462402
10,3,1.5,1.3,0.14155030250549316
10,3,2.0,1.2000000000000002,0.17452454566955566
10,3,2.5,3.6,0.1685776710510254
10,3,3.0,5.9,0.15155696868896484
10,3,3.5,6.4,0.1574540138244629
10,3,4.0,9.600000000000001,0.144697904586792
10,3,4.5,11.200000000000001,0.18741822242736816
10,3,5.0,11.9,0.13357901573181152
10,3,10.0,36.4,0.17563915252685547
10,6,0.1,0.0,0.20018482208251953
10,6,0.3,0.0,0.1816082000732422
10,6,1.0,0.0,0.17544794082641602
10,6,1.5,0.0,0.20747900009155273
10,6,2.0,1.0,0.1893761157989502
10,6,2.5,1.3,0.20540642738342285
10,6,3.0,1.9000000000000001,0.2063617706298828
10,6,3.5,3.0,0.1743783950805664
10,6,4.0,4.1000000000000005,0.28315258026123047
10,6,4.5,3.9000000000000004,0.3121681213378906
10,6,5.0,6.800000000000001,0.29009556770324707
10,6,10.0,27.6,0.17042922973632812
10,9,0.1,0.0,0.2084202766418457
10,9,0.3,0.0,0.20465493202209473
10,9,1.0,0.1,0.20440459251403809
10,9,1.5,0.0,0.20544862747192383
10,9,2.0,0.1,0.20150113105773926
10,9,2.5,0.1,0.2533688545227051
10,9,3.0,0.30000000000000004,0.1944880485534668
10,9,3.5,0.30000000000000004,0.18948030471801758
10,9,4.0,0.9,0.2004532814025879
10,9,4.5,1.0,0.28525590896606445
10,9,5.0,1.4000000000000001,0.3241455554962158
10,9,10.0,16.5,0.25027036666870117
10,12,0.1,0.0,0.2234022617340088
10,12,0.3,0.0,0.21854019165039062
10,12,1.0,0.0,0.21256732940673828
10,12,1.5,0.0,0.21442723274230957
10,12,2.0,0.0,0.22139883041381836
10,12,2.5,0.0,0.23147225379943848
10,12,3.0,0.30000000000000004,0.23332953453063965
10,12,3.5,0.5,0.2463397979736328
10,12,4.0,0.5,0.39294886589050293
10,12,4.5,0.4,0.30329465866088867
10,12,5.0,1.3,0.21657109260559082
10,12,10.0,12.700000000000001,0.22833538055419922
10,15,0.1,0.0,0.2543163299560547
10,15,0.3,0.0,0.26226186752319336
10,15,1.0,0.0,0.24137377738952637
10,15,1.5,0.0,0.24425745010375977
10,15,2.0,0.0,0.23337602615356445
10,15,2.5,0.1,0.3927755355834961
10,15,3.0,0.0,0.37403321266174316
10,15,3.5,0.0,0.21940970420837402
10,15,4.0,0.1,0.26322078704833984
10,15,4.5,0.1,0.258225679397583
10,15,5.0,0.30000000000000004,0.24933624267578125
10,15,10.0,10.200000000000001,0.2574448585510254
10,18,0.1,0.0,0.2892112731933594
10,18,0.3,0.0,0.3749401569366455
10,18,1.0,0.0,0.4220466613769531
10,18,1.5,0.0,0.2652289867401123
10,18,2.0,0.0,0.2742645740509033
10,18,2.5,0.0,0.24935388565063477
10,18,3.0,0.0,0.2633218765258789
10,18,3.5,0.2,0.2681915760040283
10,18,4.0,0.30000000000000004,0.2633495330810547
10,18,4.5,0.1,0.45195746421813965
10,18,5.0,0.30000000000000004,0.3688218593597412
