Length,Deletion Probability,Percentage Error,Time Taken
40,0.1,0,1.103054047
80,0.1,0,2.098388433
120,0.1,0,3.712074518
160,0.1,0,4.193757296
200,0.1,0,4.683476448
240,0.1,0,6.736982346
280,0.1,0,9.157543898
320,0.1,0,10.1299119
360,0.1,0,10.82804561
400,0.1,0,12.25922155
440,0.1,0,13.43507361
480,0.1,0,15.55241656
520,0.1,0,15.53745461
560,0.1,0,17.11423635
600,0.1,0,18.16542482
640,0.1,0,18.54341459
680,0.1,0,22.92070651
720,0.1,0,24.42691588
760,0.1,0,24.8455317
800,0.1,0,26.95389533
840,0.1,0,28.95261097
880,0.1,0,30.0885644
920,0.1,0,31.09288478
960,0.1,0,32.82325721
40,0.3,0,1.241676331
80,0.3,0,2.318802595
120,0.3,0,3.894587517
160,0.3,0,4.997638941
200,0.3,0,5.802485228
240,0.3,0,8.754590034
280,0.3,0,9.102625608
320,0.3,0,10.30647135
360,0.3,0.1,12.66014576
400,0.3,0,11.29180145
440,0.3,0,15.15148425
480,0.3,0,17.63185024
520,0.3,0.1,18.9214046
560,0.3,0,21.09256577
600,0.3,0,23.04637551
640,0.3,0,23.62083888
680,0.3,0.1,20.14909267
720,0.3,0.1,27.4126668
760,0.3,0,26.73055625
800,0.3,0,28.42003298
840,0.3,0.1,29.64469743
880,0.3,0.1,31.65632176
920,0.3,0.1,33.30095172
960,0.3,0.1,34.71417332
40,1,0.5,1.267608881
80,1,0.6,3.05782342
120,1,0.7,4.095077991
160,1,0.6,5.275890589
200,1,0.9,7.677472591
240,1,1.1,10.08004856
280,1,0.4,8.258914948
320,1,0.5,13.33630872
360,1,0.7,15.34995389
400,1,1.1,13.25455713
440,1,1.3,14.55810237
480,1,1.3,21.29006982
520,1,1.9,22.8798151
560,1,1.8,25.39210224
600,1,2,27.08756757
640,1,2.1,27.59124756
680,1,1.7,30.92530155
720,1,0.9,33.12545156
760,1,0.6,37.57551742
800,1,0.9,38.04626513
840,1,0.9,39.82254386
880,1,0.8,40.38603401
920,1,1.1,42.09540534
960,1,1.3,45.38963962
40,3,3,1.7074368
80,3,5.4,3.513601542
120,3,9.1,5.424466372
160,3,7.1,5.674824238
200,3,10.5,11.35762739
240,3,10.6,12.96931624
280,3,12.5,14.24091959
320,3,10.5,20.22392106
360,3,10.2,20.68172765
400,3,15.1,21.44169545
440,3,18.8,22.6623714
480,3,14.8,21.62121463
520,3,15.6,31.37709904
560,3,17.9,33.24911809
600,3,19.7,32.62076807
640,3,19.8,36.83945918
680,3,18.8,40.94251823
720,3,19.3,40.86170363
760,3,20.3,45.27988648
800,3,27.5,49.48564053
840,3,28.8,52.47168922
880,3,25.1,56.67142916
920,3,29.3,57.83035898
960,3,31.5,59.21964216
40,10,31.4,2.36666894
80,10,44.9,5.3985641
120,10,54.8,9.335063696
160,10,62.1,8.644882679
200,10,74.8,16.3323276
240,10,76.8,20.16308546
280,10,80.5,25.16371155
320,10,85,25.19462633
360,10,86.4,31.19754553
400,10,88.2,35.97876072
440,10,93.2,39.48142242
480,10,91.9,43.41287899
520,10,94.9,43.94152951
560,10,95.5,55.81870794
600,10,95.1,53.6924243
640,10,95,60.37757921
680,10,96.2,64.35395288
720,10,97.8,67.87253976
760,10,97.3,76.86150026
800,10,98.7,76.8255651
840,10,98.5,79.08153486
880,10,99,83.03994942
920,10,99.1,91.80351663
960,10,98.3,97.29038572
